step,feature,n_features,cv_r2,improvement
1,ma20_deviation,1,0.053624218653337906,0.053624218653337906
2,pct_above_52w_low,2,0.06184362418799085,0.008219405534652946
3,breakout_strength,3,0.06418419950563439,0.002340575317643541
4,close_strength,4,0.06717805947568659,0.002993859970052193
5,days_since_ath,5,0.06842951065643547,0.0012514511807488887
6,atr_ratio,6,0.06900518005411523,0.0005756693976797511
7,liquidity,7,0.06942666965203932,0.00042148959792409624
8,breakout_gap,8,0.06963131882642166,0.0002046491743823431
9,rs_vs_market,9,0.06977618685975766,0.00014486803333599307
10,market_return,10,0.06977624618996423,5.933020656712085e-08
11,box_range_pct,11,0.06973186826220527,-4.437792775895122e-05
12,volume_dry_up,12,0.06962892532772029,-0.00010294293448498415
13,ma200_slope,13,0.0695089985100793,-0.000119926817640989
14,volume_surge,14,0.06937618124448189,-0.00013281726559741247
15,volatility_contraction,15,0.06907325103689081,-0.00030293020759107614
