task,n_features,feature_set,model,MAE,RMSE,R2,Accuracy,Precision,Recall,F1,AUC
regression,10,10features,Ridge,11.26730477104914,20.396124637628855,0.06873284574904981,,,,,
regression,10,10features,Lasso,11.268194184088605,20.399282294181177,0.0684444723926192,,,,,
regression,10,10features,RandomForest,11.299037883852229,20.58787488814963,0.051140277313305504,,,,,
regression,10,10features,XGBoost,11.398905156307878,20.74122416676159,0.036952425406765355,,,,,
regression,10,10features,LightGBM,11.309941817167488,20.496412396027583,0.059552248167579425,,,,,
regression,10,10features,Voting,11.278425662733612,20.540156327797483,0.055533712505332344,,,,,
regression,10,10features,Stacking,11.272516228015935,20.455839041707016,0.06327186040527466,,,,,
regression,11,11features,Ridge,11.270048177432718,20.400277236020102,0.06835359996299384,,,,,
regression,11,11features,Lasso,11.269107517277329,20.400538412553253,0.0683297448230209,,,,,
regression,11,11features,RandomForest,11.313778603374836,20.631945586789197,0.047073644107583634,,,,,
regression,11,11features,XGBoost,11.40319990944869,20.70171291540742,0.04061806938362578,,,,,
regression,11,11features,LightGBM,11.33928080624465,20.570424274753332,0.052748133081462534,,,,,
regression,11,11features,Voting,11.260158178024328,20.508509866053476,0.05844177129307493,,,,,
regression,11,11features,Stacking,11.258882406037653,20.427382992467965,0.06587620645669745,,,,,
regression,12,12features,Ridge,11.271299888044705,20.402568718230004,0.06814429192010929,,,,,
regression,12,12features,Lasso,11.269489015589597,20.400966507858776,0.06829064312489519,,,,,
regression,12,12features,RandomForest,11.362527905677878,20.73761007524658,0.03728801204362775,,,,,
regression,12,12features,XGBoost,11.415179974131208,20.651724251359983,0.04524573653221553,,,,,
regression,12,12features,LightGBM,11.364646691284836,20.570610995501,0.05273093631612613,,,,,
regression,12,12features,Voting,11.286066993500192,20.518625644267544,0.057512699091123554,,,,,
regression,12,12features,Stacking,11.264522232330805,20.425892865078687,0.066012485556188,,,,,
regression,13,13features,Ridge,11.27179630160014,20.404607613874237,0.06795803581628779,,,,,
regression,13,13features,Lasso,11.269766479369336,20.402445725120934,0.06815552692555071,,,,,
regression,13,13features,RandomForest,11.3456109206148,20.711169468295974,0.03974137689414714,,,,,
regression,13,13features,XGBoost,11.379460128690774,20.659557001856708,0.04452136407511453,,,,,
regression,13,13features,LightGBM,11.32110405721578,20.530048181578127,0.056463058330364024,,,,,
regression,13,13features,Voting,11.290953052496551,20.527506744164626,0.05669664683844189,,,,,
regression,13,13features,Stacking,11.2729131799067,20.448835039997274,0.0639132149127678,,,,,
regression,14,14features,Ridge,11.272857354769815,20.40651759645859,0.0677835392250642,,,,,
regression,14,14features,Lasso,11.270439275277093,20.40395764842616,0.06801741313300835,,,,,
regression,14,14features,RandomForest,11.34850481289875,20.704723635560722,0.040338996771409286,,,,,
regression,14,14features,XGBoost,11.346974287288488,20.60882030450767,0.049208618823027295,,,,,
regression,14,14features,LightGBM,11.322567120633444,20.50356845312251,0.05889544321018392,,,,,
regression,14,14features,Voting,11.261323179059548,20.47302445212104,0.061697266504477155,,,,,
regression,14,14features,Stacking,11.250604380561425,20.417411447620598,0.0667879614130219,,,,,
regression,15,15features,Ridge,11.274504218734096,20.409819335883345,0.06748185278309693,,,,,
regression,15,15features,Lasso,11.272186201789301,20.406926971747794,0.0677461364482963,,,,,
regression,15,15features,RandomForest,11.353152857696225,20.695163955940775,0.04122497177864204,,,,,
regression,15,15features,XGBoost,11.335936544613466,20.633980086809565,0.04688570019598548,,,,,
regression,15,15features,LightGBM,11.33566680064828,20.510638466605087,0.058246310444167615,,,,,
regression,15,15features,Voting,11.264413011029953,20.501762134283172,0.05906125434831444,,,,,
regression,15,15features,Stacking,11.252477791607848,20.432418639818614,0.06541559945676878,,,,,
classification,10,10features,LogisticRidge,,,,0.7194343378870048,0.5798575788402849,0.13430725730442977,0.21809833556533384,0.6616652985112442
classification,10,10features,LogisticLasso,,,,0.719365689572321,0.5795918367346938,0.13383600377002827,0.21745788667687596,0.661687165259571
classification,10,10features,RandomForest,,,,0.7179927232786435,0.5781609195402299,0.11852026390197927,0.19671490027375832,0.6756600630912754
classification,10,10features,XGBoost,,,,0.7135992311388756,0.5268256333830105,0.16658812441093307,0.2531328320802005,0.6673788995282717
classification,10,10features,LightGBM,,,,0.7125695064186174,0.5225653206650831,0.15551366635249764,0.2396949337207191,0.667598377313801
classification,10,10features,Voting,,,,0.7205327109219468,0.5803156917363046,0.14726672950047126,0.23491824844953957,0.67475172566991
classification,10,10features,Stacking,,,,0.720464062607263,0.6197771587743732,0.10485391140433553,0.17936316001612254,0.6760224165669425
classification,11,11features,LogisticRidge,,,,0.7195029862016887,0.5806122448979592,0.13407163053722904,0.21784073506891272,0.6616621257784494
classification,11,11features,LogisticLasso,,,,0.719365689572321,0.5799180327868853,0.13336475023562677,0.2168582375478927,0.6616849511942395
classification,11,11features,RandomForest,,,,0.7200521727191598,0.5985748218527316,0.11875589066918002,0.19819111285882815,0.6784143147129982
classification,11,11features,XGBoost,,,,0.7154527356353402,0.5388235294117647,0.161875589066918,0.2489581445914115,0.6703232183872785
classification,11,11features,LightGBM,,,,0.7158646255234434,0.5409836065573771,0.1632893496701225,0.25085972850678734,0.6711051828941221
classification,11,11features,Voting,,,,0.7188851513695339,0.5710200190657769,0.14114043355325165,0.22633667107500471,0.6786431623317093
classification,11,11features,Stacking,,,,0.719914876089792,0.618840579710145,0.10061262959472196,0.17308471828131333,0.6797702813634223
classification,12,12features,LogisticRidge,,,,0.7192283929429533,0.5785714285714286,0.1336003770028275,0.2170750382848392,0.6612432337478703
classification,12,12features,LogisticLasso,,,,0.7192970412576372,0.579324462640737,0.13336475023562677,0.21681670178126797,0.6612761251720237
classification,12,12features,RandomForest,,,,0.7179240749639596,0.5830258302583026,0.1116870876531574,0.18746292268143167,0.6760479582072114
classification,12,12features,XGBoost,,,,0.7156586805793917,0.5384615384615384,0.16823751178133836,0.2563734290843806,0.6670868711586537
classification,12,12features,LightGBM,,,,0.7161392187821789,0.5437048917401764,0.15975494816211122,0.24694955381533418,0.6693545876301038
classification,12,12features,Voting,,,,0.7190224479989016,0.5708920187793427,0.14326107445805844,0.22904501789414203,0.6770771790306009
classification,12,12features,Stacking,,,,0.7213564906981533,0.6293706293706294,0.10603204524033931,0.18148820326678766,0.6785359741791592
classification,13,13features,LogisticRidge,,,,0.7192283929429533,0.5782520325203252,0.13407163053722904,0.21767406273909717,0.6611703521952527
classification,13,13features,LogisticLasso,,,,0.7190910963135855,0.5773930753564155,0.1336003770028275,0.21699196326061998,0.6612075804484062
classification,13,13features,RandomForest,,,,0.7214937873275211,0.6138855054811205,0.11875589066918002,0.19901283316880553,0.6782732536434157
classification,13,13features,XGBoost,,,,0.7156586805793917,0.5377218934911243,0.17130065975494815,0.25982844889206574,0.6694585688117354
classification,13,13features,LightGBM,,,,0.7164824603555983,0.5449526813880127,0.162818096135721,0.25072568940493467,0.6728524912982667
classification,13,13features,Voting,,,,0.7192970412576372,0.571825764596849,0.14538171536286523,0.23182415930866054,0.6794625262823251
classification,13,13features,Stacking,,,,0.7208759524953663,0.6264204545454546,0.10391140433553252,0.1782538399353274,0.6803241172521524
classification,14,14features,LogisticRidge,,,,0.7196402828310565,0.5806451612903226,0.1357210179076343,0.22001527883880825,0.660952004267805
classification,14,14features,LogisticLasso,,,,0.7196402828310565,0.5806451612903226,0.1357210179076343,0.22001527883880825,0.6609807871171163
classification,14,14features,RandomForest,,,,0.7212191940687857,0.6106408706166868,0.11899151743638077,0.1991717609938868,0.6803888273059171
classification,14,14features,XGBoost,,,,0.7157273288940756,0.5368120085775554,0.17695570216776627,0.2661704766967925,0.6732036831456125
classification,14,14features,LightGBM,,,,0.7171002951877531,0.5458612975391499,0.17247879359095195,0.2621307072515667,0.6763187132893133
classification,14,14features,Voting,,,,0.720464062607263,0.5778985507246377,0.15032987747408105,0.23859386686611816,0.6833387383917925
classification,14,14features,Stacking,,,,0.7216310839568889,0.625832223701731,0.11074458058435438,0.1881881881881882,0.6838305348004049
classification,15,15features,LogisticRidge,,,,0.7194343378870048,0.5793731041456016,0.13501413760603204,0.21899484043569653,0.6606810665823769
classification,15,15features,LogisticLasso,,,,0.7195029862016887,0.5801217038539553,0.1347785108388313,0.2187380497131931,0.6607253935398414
classification,15,15features,RandomForest,,,,0.721562435642205,0.6205128205128205,0.11404335532516494,0.1926751592356688,0.678948383791654
classification,15,15features,XGBoost,,,,0.7156586805793917,0.5356643356643357,0.18049010367577756,0.27000352485019385,0.6794054170920184
classification,15,15features,LightGBM,,,,0.7170316468730693,0.5447214076246334,0.17507068803016024,0.26497860199714696,0.6788055879904715
classification,15,15features,Voting,,,,0.7201894693485275,0.576782449725777,0.1486804901036758,0.23641813413263393,0.6846300178138676
classification,15,15features,Stacking,,,,0.7203267659778952,0.613941018766756,0.10791705937794534,0.18356713426853707,0.6840412818643945
