task,feature_set,n_features,model,MAE,RMSE,R2,Accuracy,Precision,Recall,F1,AUC
regression,A_15features,15,Ridge,11.274504218734096,20.409819335883345,0.06748185278309693,,,,,
regression,A_15features,15,Lasso,11.272189992104868,20.406929554055896,0.06774590051205143,,,,,
regression,A_15features,15,RandomForest,11.349384632457694,20.69986692495172,0.04078915966328034,,,,,
regression,A_15features,15,XGBoost,11.391614984654199,20.740994022178928,0.03697379723619043,,,,,
regression,A_15features,15,LightGBM,11.343851247180547,20.52510968748934,0.05691693852871593,,,,,
regression,A_15features,15,Voting,11.265826878973616,20.506203614177704,0.05865352225408149,,,,,
regression,A_15features,15,Stacking,11.248463319301914,20.428681724963116,0.06575742320469624,,,,,
regression,B_top10_corr,10,Ridge,11.28016644572778,20.42882461496413,0.06574435389445765,,,,,
regression,B_top10_corr,10,Lasso,11.283037975936061,20.429620309672572,0.06567157469495188,,,,,
regression,B_top10_corr,10,RandomForest,11.340777587952552,20.66544974128505,0.043976222704479984,,,,,
regression,B_top10_corr,10,XGBoost,11.443154556861248,20.9364988175376,0.018733245480630822,,,,,
regression,B_top10_corr,10,LightGBM,11.38707807538745,20.66220274408385,0.04427662387633147,,,,,
regression,B_top10_corr,10,Voting,11.32623451619403,20.647035097105665,0.04567925788782279,,,,,
regression,B_top10_corr,10,Stacking,11.301123082718124,20.511107903625554,0.05820320119567013,,,,,
regression,C_vif10,10,Ridge,11.424364799631405,20.540620061046923,0.05549106576422491,,,,,
regression,C_vif10,10,Lasso,11.424600226063294,20.540011900633072,0.05554699440115052,,,,,
regression,C_vif10,10,RandomForest,11.557072721812629,20.802744554629804,0.031230976568851876,,,,,
regression,C_vif10,10,XGBoost,11.61463889466612,20.847648918453984,0.02704413403212924,,,,,
regression,C_vif10,10,LightGBM,11.532746426267519,20.658862197623336,0.0445856306455662,,,,,
regression,C_vif10,10,Voting,11.500252810637173,20.664476823162563,0.04406623874333038,,,,,
regression,C_vif10,10,Stacking,11.409077047330044,20.558979973030777,0.05380184208111494,,,,,
classification,A_15features,15,LogisticRidge,,,,0.7184732614814306,0.5724417426545086,0.133129123468426,0.21601988147581724,0.6607697433227213
classification,A_15features,15,LogisticLasso,,,,0.7186105581107983,0.5734549138804458,0.13336475023562677,0.21640221754922576,0.660785104827548
classification,A_15features,15,RandomForest,,,,0.7208759524953663,0.6126582278481013,0.11404335532516494,0.19229241160111243,0.6803957662323172
classification,A_15features,15,XGBoost,,,,0.7208073041806824,0.5622800844475722,0.18826578699340246,0.2820829655781112,0.6800521524230139
classification,A_15features,15,LightGBM,,,,0.7175121850758563,0.5461703650680029,0.1797832233741753,0.27051941145187025,0.679935035214595
classification,A_15features,15,Voting,,,,0.722042973844992,0.590027700831025,0.15056550424128182,0.23990989299793505,0.6846695286086
classification,A_15features,15,Stacking,,,,0.7222489187890437,0.6312997347480106,0.11215834118755891,0.19047619047619047,0.6841004453421224
classification,B_top10_corr,10,LogisticRidge,,,,0.7199835244044759,0.587117212249208,0.13100848256361922,0.21421691388942402,0.656985380686393
classification,B_top10_corr,10,LogisticLasso,,,,0.7200521727191598,0.587737843551797,0.13100848256361922,0.21425818882466283,0.656978099378756
classification,B_top10_corr,10,RandomForest,,,,0.7198462277751081,0.5916760404949382,0.1239396795475966,0.20494837327099164,0.6688760299626494
classification,B_top10_corr,10,XGBoost,,,,0.7153154390059724,0.5372790161414297,0.16470311027332704,0.2521190261496844,0.664497304911856
classification,B_top10_corr,10,LightGBM,,,,0.7185419097961145,0.5576923076923077,0.16399622997172478,0.2534595775673707,0.6671020386474461
classification,B_top10_corr,10,Voting,,,,0.7190910963135855,0.5699815837937385,0.14585296889726673,0.2322701688555347,0.6717843531409552
classification,B_top10_corr,10,Stacking,,,,0.7207386558659985,0.6202185792349727,0.10697455230914232,0.182475884244373,0.6717808608523393
classification,C_vif10,10,LogisticRidge,,,,0.7173748884464887,0.5863945578231292,0.10155513666352498,0.1731271339626431,0.6330234646187338
classification,C_vif10,10,LogisticLasso,,,,0.7174435367611726,0.587431693989071,0.10131950989632423,0.17282958199356913,0.632996256723112
classification,C_vif10,10,RandomForest,,,,0.7190910963135855,0.6079545454545454,0.10084825636192271,0.17299919159256266,0.6511497892346757
classification,C_vif10,10,XGBoost,,,,0.7162765154115467,0.5510579576816927,0.14114043355325165,0.22472331645094729,0.6474121616371775
classification,C_vif10,10,LightGBM,,,,0.7153840873206563,0.5489021956087824,0.12959472196041472,0.20968356843309188,0.6476924006795401
classification,C_vif10,10,Voting,,,,0.7194343378870048,0.5940119760479042,0.11687087653157399,0.19531403819649537,0.6543901765618952
classification,C_vif10,10,Stacking,,,,0.7197775794604242,0.6534090909090909,0.08129123468426014,0.14459346186085498,0.6539558317248262
