feature_set,n_features,model,Accuracy,Precision,Recall,F1,AUC,TP,FP,TN,FN
A,14,LightGBM,0.5959920831271648,0.5004651162790698,0.3292533659730722,0.39719453672942046,0.6070279809854544,538,537,1871,1096
A,14,XGBoost,0.591044037605146,0.4913714804722979,0.33108935128518974,0.3956124314442413,0.6009342074765063,541,560,1848,1093
A,14,GradientBoosting,0.5945076694705591,0.49765698219306465,0.32496940024479803,0.3931877082562014,0.6091440404689387,531,536,1872,1103
B,8,LightGBM,0.5873330034636318,0.48286290322580644,0.29314565483476135,0.3648134044173648,0.5815552096845684,479,513,1895,1155
B,8,XGBoost,0.5799109351806037,0.468565815324165,0.291921664626683,0.3597285067873303,0.5783428707653396,477,541,1867,1157
B,8,GradientBoosting,0.5833745670460169,0.47484909456740443,0.28886168910648713,0.3592085235920852,0.5784507577759976,472,522,1886,1162
A,14,RandomForest,0.5959920831271648,0.5006435006435006,0.23806609547123622,0.3226876814599751,0.6119257208733028,389,388,2020,1245
B,8,RandomForest,0.5957446808510638,0.5,0.2331701346389229,0.31803005008347246,0.6015977951910604,381,381,2027,1253
A,14,LogisticRegression_L1,0.6100940128649184,0.5543071161048689,0.18115055079559364,0.2730627306273063,0.608704867902585,296,238,2170,1338
A,14,LogisticRegression,0.6078673923800099,0.5452865064695009,0.18053855569155447,0.271264367816092,0.6084349597628469,295,246,2162,1339
B,8,LogisticRegression,0.6098466105888174,0.5547024952015355,0.17686658506731945,0.26821345707656613,0.6130765156536555,289,232,2176,1345
B,8,LogisticRegression_L1,0.6100940128649184,0.555984555984556,0.1762545899632803,0.26765799256505574,0.6132429844215732,288,230,2178,1346
