feature_set,n_features,model,MAE,RMSE,R2,Accuracy,Precision,Recall,F1,AUC
A_14features,14,Lasso,14.64424777450491,27.814341617226347,0.030430861752860028,0.4826818406729342,0.4309041427275476,0.872093023255814,0.5768063145112325,0.6019515730917343
A_14features,14,Ridge,14.659254062741322,27.817522219782735,0.030209106340416736,0.491588322612568,0.4346881787154825,0.857405140758874,0.576899320568252,0.6007687553117516
B_top8_corr,8,Lasso,14.624335531769184,27.837133935955816,0.028841193841385504,0.47377535873330034,0.42963174421924066,0.9210526315789473,0.5859451041463889,0.6111360743665546
B_top8_corr,8,Ridge,14.621646515658792,27.84226702954598,0.02848300260881853,0.4821870361207323,0.43271767810026385,0.9033047735618115,0.5851337958374628,0.6118316850807386
A_14features,14,Stacking,14.657892485079527,27.914180538671133,0.02345787850979575,0.4250371103414151,0.4118548799182422,0.9865361077111383,0.5811103100216294,0.6057465526986747
C_vif8_vol,9,Lasso,14.770955661654485,27.954598301774073,0.020627903063876518,0.4322117763483424,0.41327735502492785,0.9638922888616891,0.5785123966942148,0.5932349634226182
C_vif8_vol,9,Ridge,14.776802275183597,27.960477571047278,0.020215906603741618,0.4388916378030678,0.4145091693635383,0.9406364749082007,0.5754399101460127,0.5910851018839689
B_top8_corr,8,Stacking,14.85442696516827,28.063609536018134,0.012974727398806452,0.40747154873824837,0.4054188416604524,0.9981640146878825,0.5766307229980555,0.5962336886022519
A_14features,14,RandomForest,14.954194835706287,28.085294729494343,0.011448758081513133,0.5277090549233053,0.4537192864355436,0.824969400244798,0.5854505971769816,0.6091928374207558
C_vif8_vol,9,Stacking,14.831581466538834,28.11343804260282,0.009466578675311199,0.40351311232063336,0.4038128249566724,0.9981640146878825,0.5750044068394148,0.5990956806564817
A_14features,14,Voting,14.971111094539335,28.297107910109965,-0.00351834586587918,0.52894606630381,0.45161290322580644,0.7711138310893513,0.569620253164557,0.6091875002541507
A_14features,14,LightGBM,15.12004786268045,28.46006081288488,-0.015109429480199887,0.5316674913409203,0.450402144772118,0.7197062423500612,0.5540636042402827,0.5930679863531191
B_top8_corr,8,RandomForest,15.06419448731723,28.50156225473988,-0.018072123190546296,0.5197921820880752,0.44965562479501475,0.8390452876376989,0.5855221012171685,0.6026215145760562
C_vif8_vol,9,Voting,15.125612032424893,28.51309561796025,-0.018896230387026147,0.5282038594755072,0.45215562565720296,0.7894736842105263,0.5749944283485625,0.6050247644530471
C_vif8_vol,9,RandomForest,15.077043776004274,28.53683985702648,-0.02059390568051378,0.5254824344383968,0.4521885521885522,0.8219094247246022,0.5834057341442224,0.6077756926117349
A_14features,14,XGBoost,15.160914177092245,28.56206351752114,-0.022398905214770393,0.537357743691242,0.45422808378588053,0.7166462668298653,0.5560303893637227,0.6080523357474269
C_vif8_vol,9,LightGBM,15.228215800213855,28.647908176300525,-0.02855387926308861,0.5294408708560119,0.44939577039274925,0.7282741738066095,0.5558150397010743,0.5937259827502775
B_top8_corr,8,Voting,15.18677119685747,28.72557744552084,-0.03413860267181512,0.5230084116773874,0.4497264021887825,0.8047735618115055,0.5770074594120228,0.6021731925812368
B_top8_corr,8,LightGBM,15.34862781818221,28.803685955139127,-0.039770158308639614,0.52894606630381,0.4501108647450111,0.7454100367197063,0.5612903225806452,0.5834628655196672
B_top8_corr,8,XGBoost,15.509782716137297,29.208586802615446,-0.06920825859939606,0.5215239980207818,0.44339622641509435,0.719094247246022,0.5485527544351074,0.5804965445658494
C_vif8_vol,9,XGBoost,15.722586471118856,29.375651213432967,-0.0814743428551834,0.5282038594755072,0.4484321873819418,0.726438188494492,0.5545433309974305,0.5791315006689248
