ticker,name,event_date,high_52w,event_price,market_type,market_cap,gap_pct,resistance_tests,days_since_high,momentum_5d,volume_ratio,volume_trend,volatility_contraction,atr_pct,ma_alignment,trend_strength,rs_vs_market,market_return,pct_from_52w_low,broke_through_10d,max_gain_20d,days_to_breakout
020150,롯데에너지머티리얼즈,2020-01-02,45150,43000,KOSPI,23722.0,-4.7619,0,213,9.5541,1.0327,1.1258,0.7856,2.392,3,-0.0473,3.3862,3.9796,38.9338,1,22.79,6
006060,화승인더,2020-01-02,12200,11700,KOSPI,1873.0,-4.0984,10,28,4.9327,0.9643,1.3122,1.0317,4.2735,3,3.8133,3.8545,3.9796,115.8672,1,11.11,3
143240,사람인,2020-01-02,32400,31000,KOSDAQ,1656.0,-4.321,12,30,5.802,0.4535,0.7754,0.8636,3.2949,3,3.5135,-1.4988,6.2285,82.3529,1,6.13,10
036570,엔씨소프트,2020-01-02,563000,541000,KOSPI,43842.0,-3.9076,25,29,0.1852,0.4716,0.5189,0.4613,1.8748,4,0.1645,7.1087,3.9796,27.4441,1,22.92,1
012510,더존비즈온,2020-01-02,81600,80700,KOSPI,25613.0,-1.1029,5,38,3.861,0.4254,0.8512,0.6528,2.2305,4,5.6218,10.0035,3.9796,105.6051,1,14.0,1
100840,SNT에너지,2020-01-02,7349,7186,KOSPI,9079.0,-2.218,9,30,2.8629,1.1844,1.7201,0.643,2.2743,4,2.4154,5.413,3.9796,88.6089,0,0.5,-1
003850,보령,2020-01-02,12556,12331,KOSPI,8184.0,-1.792,3,22,6.1462,0.9581,1.3406,1.1826,2.7909,4,8.4204,1.4857,3.9796,71.2163,0,0.3,-1
137400,피엔티,2020-01-02,7610,7380,KOSDAQ,12295.0,-3.0223,5,39,7.7372,0.9977,0.903,0.7344,3.736,4,1.6974,7.3099,6.2285,83.8107,1,8.54,1
043150,바텍,2020-01-02,30050,28550,KOSDAQ,3067.0,-4.9917,6,121,-1.0399,0.9113,1.1747,1.0921,2.5519,3,2.4392,0.1029,6.2285,48.3117,1,18.04,6
034230,파라다이스,2020-01-02,21050,20150,KOSPI,19636.0,-4.2755,3,37,4.9479,2.3794,1.3597,0.8595,2.3573,4,1.5428,3.2013,3.9796,51.5038,1,10.17,6
114190,강원에너지,2020-01-02,8720,8360,KOSDAQ,4164.0,-4.1284,1,32,23.486,4.9548,1.8709,1.3947,7.5615,2,22.4284,-1.7285,6.2285,155.6575,0,2.51,-1
016710,대성홀딩스,2020-01-02,8630,8240,KOSPI,1411.0,-4.5191,4,74,0.9804,1.4559,2.7084,1.3233,3.2334,4,1.381,0.7218,3.9796,34.202,1,12.86,2
108380,대양전기공업,2020-01-02,14650,14150,KOSDAQ,2679.0,-3.413,0,164,5.597,2.2571,1.7881,1.0257,1.7415,3,1.4733,1.376,6.2285,27.4775,0,1.41,-1
044450,KSS해운,2020-01-02,8000,7770,KOSPI,2380.0,-2.875,14,28,2.2368,1.1132,1.6362,1.1733,1.9673,4,2.4307,-2.0111,3.9796,28.8557,0,0.26,-1
035720,카카오,2020-01-02,31913,30609,KOSPI,258039.0,-4.0861,24,28,2.6941,0.5993,1.0199,1.0904,1.9432,3,3.7175,-6.5359,3.9796,63.466,1,13.11,3
089010,켐트로닉스,2020-01-02,18500,17600,KOSDAQ,5572.0,-4.8649,3,29,14.2857,0.8772,1.1548,0.9749,5.1339,4,16.0022,-0.2044,6.2285,236.5201,0,14.49,-1
214370,케어젠,2020-01-02,12416,12240,KOSDAQ,63437.0,-1.4175,60,206,0.0,1.0,1.0,1.0,100.0,0,0.0,-6.2285,6.2285,0.0,0,-100.0,-1
008490,서흥,2020-01-02,36500,35400,KOSPI,2696.0,-3.0137,18,31,1.7241,0.6911,1.0095,0.8086,2.1893,4,2.6861,0.138,3.9796,56.9845,1,6.21,10
007810,코리아써키트,2020-01-02,12350,12000,KOSPI,12873.0,-2.834,1,45,15.942,0.6589,0.8887,0.8184,4.5238,4,23.5653,8.1699,3.9796,192.3264,1,4.17,1
000440,중앙에너비스,2020-01-02,10800,10500,KOSDAQ,1028.0,-2.7778,0,72,23.8208,5.3776,1.6536,2.2682,7.4422,3,1.0027,45.2866,6.2285,94.8052,1,50.48,1
034590,인천도시가스,2020-01-03,30100,28650,KOSPI,1148.0,-4.8173,60,250,-4.0201,0.5205,1.0903,2.2284,1.2216,1,0.2358,-7.6426,4.4332,2.5045,0,1.92,-1
007700,F&F홀딩스,2020-01-03,61250,58750,KOSPI,8312.0,-4.0816,10,34,10.8491,1.0373,0.9844,0.9783,3.4653,4,5.9892,0.948,4.4332,221.9178,1,8.94,6
044990,에이치엔에스하이텍,2020-01-03,4800,4700,KOSDAQ,1346.0,-2.0833,6,55,17.5,0.0671,0.2406,0.6176,1.2158,3,1.1511,11.091,6.409,121.1765,1,8.51,6
033500,동성화인텍,2020-01-03,11200,10650,KOSDAQ,8397.0,-4.9107,5,57,5.9701,1.4244,1.1081,1.2146,3.2931,3,-0.0314,1.4937,6.409,52.1429,1,6.57,5
003230,삼양식품,2020-01-03,95200,92600,KOSPI,86479.0,-2.7311,13,34,2.4336,3.2643,1.17,1.0589,2.5764,4,4.0061,0.318,4.4332,96.1864,1,16.09,2
100120,뷰웍스,2020-01-03,36450,34750,KOSDAQ,2471.0,-4.6639,0,186,16.4154,2.2321,1.9404,1.2381,4.0904,3,4.9055,20.6476,6.409,48.5043,1,12.23,2
077360,덕산하이메탈,2020-01-06,4165,4005,KOSDAQ,5048.0,-3.8415,1,30,16.5939,1.8549,2.2255,1.322,4.7708,4,5.7437,8.9741,4.8043,89.1828,0,11.61,-1
131970,두산테스나,2020-01-06,28328,28127,KOSDAQ,11944.0,-0.7095,0,133,17.191,1.5567,1.4839,1.0784,5.1425,2,2.1416,58.8865,4.8043,217.6398,1,25.94,1
117580,대성에너지,2020-01-06,5990,5830,KOSPI,2228.0,-2.6711,0,169,7.963,290.6163,3.8514,2.416,2.5606,1,-0.0801,3.7974,4.1655,13.2039,1,18.18,2
161580,필옵틱스,2020-01-06,11350,11200,KOSDAQ,12169.0,-1.3216,2,30,13.1313,2.5797,1.3086,0.9699,4.4515,4,7.508,4.9996,4.8043,75.8242,1,12.5,1
002790,아모레퍼시픽홀딩스,2020-01-07,87797,85700,KOSPI,27850.0,-2.3885,10,45,5.4121,1.8405,1.0561,0.766,3.6839,4,6.7261,6.1632,5.5708,69.0902,1,8.17,4
010120,LS ELECTRIC,2020-01-07,56000,53900,KOSPI,191100.0,-3.75,13,211,0.3724,0.9882,1.068,1.4348,2.2131,3,3.8762,0.1155,5.5708,27.1226,0,2.23,-1
241590,화승엔터프라이즈,2020-01-07,17800,17250,KOSPI,3405.0,-3.0899,7,31,3.9157,1.8061,0.9099,0.7676,3.499,4,3.3074,2.2417,5.5708,105.8473,1,3.48,1
195870,해성디에스,2020-01-07,18700,17800,KOSPI,10370.0,-4.8128,0,165,13.0159,3.4536,2.0316,1.5377,3.4109,3,4.6937,22.4867,5.5708,65.5814,1,10.67,3
101360,에코앤드림,2020-01-07,2885,2774,KOSDAQ,3700.0,-3.8475,1,77,4.6792,4.2689,0.8031,0.9362,5.2709,4,13.0682,10.3197,7.4223,0.0,1,91.06,1
067310,하나마이크론,2020-01-08,4126,3992,KOSDAQ,22605.0,-3.2477,1,49,4.3115,2.7101,1.091,0.6241,5.1818,4,10.3352,17.9437,2.0443,88.0358,1,19.34,1
003650,미창석유,2020-01-08,85000,82200,KOSPI,2157.0,-3.2941,12,175,3.5264,22.3107,2.4647,1.2171,2.4244,2,0.293,1.9132,3.3365,13.0674,0,-4.99,-1
089970,브이엠,2020-01-09,8230,8150,KOSDAQ,7763.0,-0.9721,0,183,7.8042,1.1509,1.0364,1.0025,3.7248,4,3.0316,25.7881,6.0889,67.5231,1,18.16,1
160980,싸이맥스,2020-01-09,12100,11850,KOSDAQ,1957.0,-2.0661,0,189,7.7273,6.1601,1.524,1.4489,4.4304,3,5.2764,19.5738,6.0889,96.1921,1,16.46,4
092070,디엔에프,2020-01-09,11050,10850,KOSDAQ,2176.0,-1.81,0,216,7.4257,3.7426,1.5738,1.3382,3.6471,4,3.6506,23.2317,6.0889,61.9403,0,1.38,-1
