ticker,name,breakout_date,high_52w,breakout_price,market_type,market_cap,breakout_pct,volume_surge,close_strength,base_length,volatility_contraction,volume_dry_up,ma200_slope,pct_above_52w_low,rs_vs_market,market_return,ma20_deviation,liquidity,days_since_ath,atr_ratio,max_gain_20d,max_drawdown_20d,gain_at_day_20,label,market_regime,market_ma200_dist
51360,토비스,2022-01-05,9400,9500,KOSDAQ,2268,1.0638,5.7163,0.7927,147,0.8703,1.7974,0.009202,32.312,17.7452,1.3024,0.1532,5407283102.0,147,0.030602,24.21,-3.05,20.0,1,1,0.2753
300720,한일시멘트,2022-01-05,23800,26000,KOSPI,12488,9.2437,5.2117,0.9753,81,0.982,0.7133,0.060628,148.8038,25.0713,-1.2618,0.1849,28225574810.0,81,0.042445,-1.15,-29.62,-24.23,0,0,-5.2709
58610,에스피지,2022-01-05,13250,13600,KOSDAQ,33355,2.6415,5.0559,0.8696,1,0.6484,3.2074,0.021626,56.5017,29.4669,1.3024,0.193,37413343710.0,1,0.056197,1.84,-16.91,-6.25,0,1,0.2753
290670,대보마그네틱,2022-01-05,44600,50300,KOSDAQ,1041,12.7803,8.2096,0.7128,1,0.6147,2.0951,0.00893,76.4912,55.8851,1.3024,0.283,14286610560.0,1,0.054814,41.75,2.39,13.52,1,1,0.2753
93640,케이알엠,2022-01-05,5040,5900,KOSDAQ,1135,17.0635,33.5695,0.8017,1,0.7733,4.8446,0.029742,113.3816,41.9015,1.3024,0.3635,20261615262.0,1,0.054116,-9.15,-36.95,-34.32,0,1,0.2753
53800,안랩,2022-01-05,106400,120500,KOSDAQ,7010,13.2519,3.4852,0.6279,1,0.7854,3.5909,-0.012168,94.0419,78.0131,1.3024,0.5332,182503000000.0,1,0.053231,-1.0,-41.0,-34.36,0,1,0.2753
259630,엠플러스,2022-01-05,19300,21500,KOSDAQ,1621,11.399,8.7143,0.7424,1,0.7313,2.3335,0.017668,80.6723,38.7628,1.3024,0.3247,24450701670.0,1,0.047342,31.86,0.23,9.07,1,1,0.2753
2710,TCC스틸,2022-01-06,10900,11250,KOSPI,4270,3.211,3.8706,0.5217,2,0.5942,2.9623,0.064478,181.25,62.0558,-2.7074,0.2967,24594030652.0,2,0.054921,15.11,-18.22,-18.22,1,0,-6.3254
3100,선광,2022-01-06,58300,58500,KOSDAQ,1346,0.3431,1.2314,0.7,13,0.3143,0.7472,0.064129,109.6774,7.5855,-2.5585,0.0193,1321496120.0,13,0.016117,6.67,0.0,3.42,0,0,-2.6504
91120,이엠텍,2022-01-06,31102,32078,KOSDAQ,1347,3.1381,2.425,0.7242,5,0.3889,1.9873,0.050648,168.1659,39.4334,-2.5585,0.1701,12326528810.0,5,0.049576,17.2,-1.37,1.98,1,0,-2.6504
101930,인화정공,2022-01-06,14300,14800,KOSDAQ,3836,3.4965,1.6838,0.8571,2,0.5593,1.2238,0.063854,154.7332,25.3801,-2.5585,0.1178,834870610.0,2,0.042471,17.91,-11.49,-9.8,1,0,-2.6504
208370,셀바스헬스케어,2022-01-07,3442,3607,KOSDAQ,1357,4.7937,2.3232,1.0032,3,0.743,2.9801,0.02149,69.5816,30.255,-2.709,0.229,8430709772.0,3,0.053566,-3.49,-28.69,-10.73,0,0,-1.1942
56080,유진로봇,2022-01-07,6400,6870,KOSDAQ,12116,7.3438,9.5993,0.9097,3,0.428,2.8935,0.019689,129.0,117.7325,-2.709,0.3076,95865668552.0,3,0.100021,-4.66,-31.59,-24.45,0,0,-1.1942
140670,알에스오토메이션,2022-01-07,13643,14342,KOSDAQ,2831,5.1235,9.5463,0.8463,3,0.5453,2.4703,0.033558,81.8205,43.3583,-2.709,0.1856,13567841185.0,3,0.067021,-0.98,-25.97,-14.29,0,0,-1.1942
4430,송원산업,2022-01-07,22850,22900,KOSPI,2093,0.2188,1.4596,0.6452,177,0.6375,1.0679,0.016422,50.6579,19.6006,-2.465,0.0888,16140510690.0,177,0.043824,-1.97,-21.83,-9.39,0,0,-5.2111
93520,매커스,2022-01-07,9170,9360,KOSDAQ,3265,2.072,5.208,0.6474,33,0.7913,0.9876,0.039292,90.6314,18.5506,-2.709,0.1726,19144163590.0,33,0.044872,-5.34,-25.0,-10.04,0,0,-1.1942
33240,자화전자,2022-01-07,26850,26950,KOSPI,6919,0.3724,0.6751,0.7222,3,0.4024,1.2485,0.040547,85.2234,30.7984,-2.465,0.1191,18108771810.0,3,0.057911,-2.78,-22.45,-20.96,0,0,-5.2111
24880,케이피에프,2022-01-07,5500,5830,KOSDAQ,1169,6.0,5.7062,0.9636,3,0.6384,2.665,0.009165,44.4857,34.9086,-2.709,0.1984,14839877782.0,3,0.051152,-4.12,-17.24,-11.66,0,0,-1.1942
990,DB하이텍,2022-01-07,77800,77900,KOSPI,44984,0.1285,1.742,0.875,32,0.6436,0.8169,0.028717,56.7404,15.5274,-2.465,0.0824,105235000000.0,32,0.03466,8.99,-10.01,-8.99,0,0,-5.2111
102940,코오롱생명과학,2022-01-07,44900,45700,KOSDAQ,8885,1.7817,1.088,0.9394,4,0.3249,1.8353,0.073171,149.7268,26.3897,-2.709,0.142,6957425050.0,4,0.059628,-5.91,-20.79,-20.79,0,0,-1.1942
140410,메지온,2022-01-07,74569,75804,KOSDAQ,48248,1.6562,1.3499,0.814,3,0.2906,2.2766,0.021912,75.0953,25.6637,-2.709,0.1727,25390021144.0,3,0.039974,-8.81,-22.46,-17.08,0,0,-1.1942
16710,대성홀딩스,2022-01-07,47250,47400,KOSPI,1356,0.3175,0.8464,0.8182,4,0.3137,0.8942,0.052025,83.0116,4.9515,-2.465,0.0116,3876285340.0,4,0.014467,3.16,0.63,1.27,0,0,-5.2111
215100,로보로보,2022-01-07,8680,9170,KOSDAQ,2080,5.6452,6.1089,0.4862,3,0.6481,3.7074,0.008506,203.6424,166.9742,-2.709,0.6427,267305000000.0,3,0.109947,-8.4,-31.3,-8.4,0,0,-1.1942
10820,퍼스텍,2022-01-07,3035,3200,KOSPI,2265,5.4366,31.8476,1.0,138,0.6507,7.4097,0.0012,64.1026,55.2097,-2.465,0.3105,46116311837.0,138,0.065513,64.06,-4.69,51.41,1,0,-5.2111
95500,미래나노텍,2022-01-07,8630,9550,KOSDAQ,3672,10.6605,4.3164,0.7943,3,0.3947,1.8097,0.071432,179.6486,122.7551,-2.709,0.3674,35934752620.0,3,0.078459,-1.57,-30.89,-26.07,0,0,-1.1942
7810,코리아써키트,2022-01-07,31200,31450,KOSPI,15165,0.8013,0.8052,0.75,5,0.3348,0.8769,0.091959,162.0833,38.6122,-2.465,0.1657,25858986450.0,5,0.069612,0.32,-13.2,-10.49,0,0,-5.2111
272290,이녹스첨단소재,2022-01-07,47100,49300,KOSDAQ,6985,4.6709,3.9923,0.7624,21,0.6465,1.0264,0.060715,124.3458,16.6975,-2.709,0.1121,38520951250.0,21,0.040568,15.42,-5.88,-4.46,1,0,-1.1942
317830,에스피시스템스,2022-01-10,10700,10950,KOSDAQ,1386,2.3364,6.2882,0.5675,4,0.5343,1.7175,0.028681,114.7059,102.1742,-3.0833,0.2272,10840859686.0,4,0.122505,0.46,-29.32,-24.75,0,0,-2.6781
93190,빅솔론,2022-01-10,6970,7130,KOSDAQ,1160,2.2956,1.815,0.8824,4,0.4235,1.462,0.032608,62.2298,11.442,-3.0833,0.0655,2193133506.0,4,0.064917,0.98,-9.68,-1.54,0,0,-2.6781
316140,우리금융지주,2022-01-10,13600,13950,KOSPI,219489,2.5735,3.8453,1.0,46,0.8276,1.5146,0.029027,58.5227,10.0819,-2.7742,0.056,43502181870.0,46,0.022017,13.62,0.36,11.47,1,0,-6.103
99440,스맥,2022-01-10,1946,2039,KOSDAQ,4217,4.779,20.0025,0.27,104,0.8762,3.9175,0.013479,63.2506,46.8774,-3.0833,0.2081,14501011228.0,104,0.085266,-0.64,-29.82,-21.97,0,0,-2.6781
94360,칩스앤미디어,2022-01-11,12450,12625,KOSDAQ,3756,1.4056,3.2658,0.5192,10,0.6589,1.0678,0.040415,105.2846,16.8113,-3.5826,0.0829,39312179250.0,10,0.066755,0.59,-21.39,-21.39,0,0,-3.7242
80420,모다이노칩,2022-01-11,4550,4575,KOSDAQ,1516,0.5495,74.3756,1.0,238,0.828,11.1942,0.001451,44.3218,37.3546,-3.5826,0.3164,29359874745.0,238,0.053552,14.54,-12.46,0.33,1,0,-3.7242
78350,한양디지텍,2022-01-11,18150,18950,KOSDAQ,3971,4.4077,1.2468,1.0,6,0.5534,0.6635,0.144165,282.442,25.057,-3.5826,0.1405,4617813230.0,6,0.059178,0.79,-12.66,-10.55,0,0,-3.7242
46070,코다코,2022-01-11,68800,78000,KOSDAQ,1592,13.3721,9.0762,1.0,60,0.6,2.1491,0.020873,77.2727,45.4008,-3.5826,0.3191,1846678800.0,60,0.04359,-2.82,-21.28,-6.41,0,0,-3.7242
105560,KB금융,2022-01-11,59700,60000,KOSPI,508870,0.5025,2.8207,1.0,167,0.963,1.252,0.014686,48.8834,6.8225,-2.4746,0.0553,99477052800.0,167,0.020357,9.67,-4.83,9.67,0,0,-6.0714
98120,마이크로컨텍솔,2022-01-12,14100,14500,KOSDAQ,1633,2.8369,3.3121,1.0,8,0.8824,1.1494,0.097319,185.9961,13.5479,-1.1448,0.1041,3395772130.0,8,0.058867,4.83,-30.69,-30.69,0,0,-1.6167
54450,텔레칩스,2022-01-12,21300,21600,KOSDAQ,2247,1.4085,6.9508,1.0,225,0.887,3.1707,-0.002173,53.7367,36.1448,-1.1448,0.2215,117135000000.0,225,0.059193,0.0,-21.3,-21.3,0,0,-1.6167
195870,해성디에스,2022-01-12,51800,54200,KOSPI,10710,4.6332,3.6549,0.7045,37,0.8543,1.4953,0.041581,98.8991,16.7021,-0.5177,0.1065,30441286660.0,37,0.043819,5.35,-13.01,-13.01,0,0,-4.6189
41590,플래스크,2022-01-13,4385,4415,KOSDAQ,1161,0.6842,7.507,0.6474,28,0.7771,1.4859,0.037493,101.139,39.3877,-2.0199,0.2593,5324262393.0,28,0.057968,82.33,2.04,65.66,1,0,-2.4315
36930,주성엔지니어링,2022-01-13,21700,22200,KOSDAQ,19380,2.3041,0.6784,0.7083,11,0.7361,0.6031,0.077142,172.0588,16.4529,-2.0199,0.0739,23333285760.0,11,0.049389,6.31,-10.81,-10.81,0,0,-2.4315
79550,LIG넥스원,2022-01-13,70900,72000,KOSPI,99880,1.5515,1.2859,0.7674,7,0.6538,0.7589,0.061593,123.2558,17.0423,-0.9132,0.096,19834917880.0,7,0.041964,-0.69,-21.81,-19.17,0,0,-4.9402
215000,골프존,2022-01-13,185900,186000,KOSDAQ,3633,0.0538,0.3614,0.5227,36,0.4366,0.7208,0.078026,196.1783,10.4115,-2.0199,0.0703,9635447980.0,36,0.033487,0.11,-17.37,-17.37,0,0,-2.4315
85910,네오티스,2022-01-13,5700,5770,KOSDAQ,1676,1.2281,19.1784,0.5941,7,0.9551,5.3754,0.0263,60.2778,15.8266,-2.0199,0.0992,6744386564.0,7,0.060659,6.76,-13.52,-12.65,0,0,-2.4315
298380,에이비엘바이오,2022-01-14,28450,30400,KOSDAQ,109351,6.8541,14.6475,0.7528,250,1.0,4.022,0.003534,73.2194,32.4321,-3.6186,0.3611,166388000000.0,257,0.061678,8.72,-19.9,-14.64,0,0,-3.6166
7340,DN오토모티브,2022-01-14,15442,16404,KOSPI,14130,6.2298,3.1738,0.7186,8,0.4935,1.3617,0.085844,214.4336,46.5034,-2.8103,0.2117,4080133471.0,8,0.065755,1.34,-24.42,-21.86,0,0,-6.2122
13570,디와이,2022-01-14,7150,7200,KOSPI,1327,0.6993,1.5092,0.6786,36,0.7183,0.6169,0.01372,48.3007,21.6222,-2.8103,0.0966,5209355292.0,36,0.040179,65.28,-1.53,29.72,1,0,-6.2122
11070,LG이노텍,2022-01-14,370500,384500,KOSPI,56564,3.7787,3.4734,0.6364,9,0.9059,1.3696,0.061987,111.2637,18.6236,-2.8103,0.1054,287541000000.0,9,0.050251,-2.34,-18.47,-17.56,0,0,-6.2122
54210,이랜텍,2022-01-17,13350,13550,KOSDAQ,2585,1.4981,1.1569,0.8947,41,0.4384,1.1435,0.046118,102.5411,29.7935,-4.3305,0.1166,7740534510.0,41,0.057723,32.1,0.37,21.4,1,0,-4.9551
95340,ISC,2022-01-18,35750,36000,KOSDAQ,29188,0.6993,1.1859,0.7222,11,0.4125,0.7722,0.052082,99.446,31.6857,-4.7016,0.0838,14959492440.0,11,0.047718,-3.19,-19.58,-16.94,0,0,-6.3345
264850,이랜시스,2022-01-18,4200,4385,KOSDAQ,2581,4.4048,28.0086,1.0,133,0.7345,6.8998,0.032237,106.8396,52.5937,-4.7016,0.2924,17165768475.0,133,0.075419,0.68,-23.49,-20.87,0,0,-6.3345
111770,영원무역,2022-01-19,49150,49350,KOSPI,37399,0.4069,1.4528,0.5,167,0.4969,1.4499,0.014005,50.687,17.5206,-4.4621,0.0756,9789733280.0,167,0.043856,-1.01,-14.89,-14.89,0,0,-8.6773
51370,인터플렉스,2022-01-20,17000,17050,KOSDAQ,2762,0.2941,1.6476,0.8571,15,0.4615,1.525,0.033262,54.2986,32.8217,-4.1425,0.0546,10747986080.0,261,0.065982,5.57,-11.44,5.57,0,0,-4.8495
35000,HS애드,2022-01-21,7340,7380,KOSPI,1319,0.545,1.3609,0.9333,29,0.7843,0.6552,0.024287,41.3793,10.1469,-5.466,0.0281,444866938.0,29,0.022455,3.25,-14.77,-13.41,0,0,-8.8554
56090,시지메드텍,2022-01-24,2224,2360,KOSDAQ,1661,6.1151,11.5861,0.6964,129,0.6957,3.3179,0.012064,37.6896,35.0681,-9.1342,0.1588,38817810.0,129,0.051029,366.1,-11.02,334.75,1,0,-9.1108
49070,인탑스,2022-01-28,36500,39000,KOSDAQ,3526,6.8493,4.9413,0.8551,235,0.6633,1.5381,0.007478,83.0986,36.5118,-15.5815,0.1441,28258118990.0,235,0.049634,3.85,-21.15,-18.46,0,0,-13.1388
179290,엠아이텍,2022-01-28,6090,6660,KOSDAQ,2327,9.3596,15.6799,0.8182,114,1.0,3.1535,0.025207,58.5714,38.9149,-15.5815,0.178,14110978444.0,114,0.06317,9.46,-9.31,9.46,0,0,-13.1388
205470,휴마시스,2022-01-28,7158,7446,KOSDAQ,1305,4.0235,9.4432,1.0,187,0.8236,2.3978,0.066368,422.8933,85.6204,-15.5815,0.5787,449075000000.0,187,0.060224,21.49,-35.21,-29.4,1,0,-13.1388
3690,코리안리,2022-02-03,6307,6616,KOSPI,22443,4.8993,2.665,0.8486,72,0.956,1.8356,0.01301,43.7948,25.9611,-9.4002,0.1023,5069607707.0,72,0.032411,2.34,-12.52,-8.49,0,0,-12.5516
249420,일동제약,2022-02-03,37500,41900,KOSPI,11501,11.7333,2.4656,1.0,29,0.6639,1.6434,0.088423,232.5397,28.4343,-9.4002,0.3685,306065000000.0,29,0.09717,39.86,-21.0,14.92,1,0,-12.5516
4370,농심,2022-02-04,337500,341000,KOSPI,24574,1.037,3.4157,1.0,135,0.8082,1.727,0.011079,24.6801,17.465,-7.9947,0.0692,14753560200.0,135,0.028278,0.15,-15.25,-15.25,0,0,-11.119
17390,서울가스,2022-02-04,180000,180500,KOSPI,3205,0.2778,0.8309,0.8125,83,0.5224,1.2148,0.056691,106.9954,16.7296,-7.9947,0.0624,1061638800.0,83,0.04353,13.02,-1.11,7.48,1,0,-11.119
5090,SGC에너지,2022-02-07,55400,56200,KOSPI,3040,1.444,3.9687,0.619,129,0.775,2.0866,0.018656,55.6787,27.9324,-7.0722,0.15,8973799230.0,129,0.038892,1.78,-10.68,-4.45,0,0,-11.2226
